desalojadas	de-sa-lo-j#a-das
entaliscados	en-ta-lis-c#a-dos
crastas	cr#as-tas
expectantes	ex-pec-t#an-tes
gatilhos	ga-t#i-lhos
tenteando	ten-te-#an-do
pontarias	pon-ta-r#i-as
fitos	f#i-tos
esquadrinhavam	es-qua-dri-nh#a-vam
Caminhavam	ca-mi-nh#a-vam
Atulhavam	a-tu-lh#a-vam
cortadas	cor-t#a-das
empurradas	em-pu-rr#a-das
revezavam	re-ve-z#a-vam
muares	mu-#a-res
impotentes	im-po-t#en-tes
tração	tra-ç#ão
surpresou	sur-pre-s#ou
Dentre	d#en-tre
esconderijos	es-con-de-r#i-jos
aprumados	a-pru-m#a-dos
deflagar	de-fla-g#ar
vozeria	vo-ze-r#i-a
rompiam	rom-p#i-am
brados	br#a-dos
escandalosos	es-can-da-l#o-sos
apostrofes	a-pos-tr#o-fes
soaria	so-a-r#i-a
estribilho	es-tri-b#i-lho
irônico	i-r#ô-ni-co
vacilação	va-ci-la-ç#ão
pareceu	pa-re-c#eu
Conteve-a	con-t#e-ve§-a
rompeu	rom-p#eu
alarmadas	a-lar-m#a-das
replica	re-pl#i-ca
desvantajosas	des-van-ta-j#o-sas
Conteirados	con-t#ei-ra-dos
bombardearam	bom-bar-de-#a-ram
poderosas	po-de-r#o-sas
decuplavam	de-cu-pl#a-vam
debandaram	de-ban-d#a-ram
tontos	t#on-tos
Aproveitando	a-pro-v#ei-tan-do
Tropeçando	tro-pe-ç#an-do
escorregando	es-co-rre-g#an-do
contornando-as	con-tor-n#an-do§-as
transpondo-as	trans-p#on-do§-as
saltos	s#al-tos
arremeteram	a-rre-me-t#e-ram
estirou	es-ti-r#ou
generalizou-se	ge-ne-ra-li-z#ou§-se
romperam-se	rom-p#e-ram§-se
Fracionados	fra-ci-o-n#a-dos
penhascos	pe-nh#as-cos
pulso	p#ul-so
bandoleiras	ban-do-l#ei-ras
abordoando-se	a-bor-do-#an-do§-se
raivando	r#ai-van-do
espadanando	es-pa-da-n#an-do
brilhos	br#i-lhos
estrugindo	es-tru-g#in-do
estrídulas	es-tr#í-du-las
soando	so-#an-do
tirantes	ti-r#an-tes
bruacas	bru-#a-cas
desapareciam	de-sa-pa-re-c#i-am
Acompanhou-os	a-com-pa-nh#ou§-os
surdos	s#ur-dos
intimativas	in-ti-ma-t#i-vas
revolveres	re-vol-v#e-res
engatilhados	en-ga-ti-lh#a-dos
reapareciam	re-a-pa-re-c#i-am
Pareciam	pa-re-c#i-am
sortes	s#or-tes
alterosas	al-te-r#o-sas
iludiam	i-lu-d#i-am
engenhoso	en-ge-nh#o-so
carregamento	ca-rre-ga-m#en-to
possuíam	po-ssu-#í-am
rodeando	ro-de-#an-do
carregadas	ca-rre-g#a-das
sentados	sen-t#a-dos
trincheira	trin-ch#ei-ra
baquear	ba-que-#ar
substituía-o	subs-ti-tu-#í-a-§o
busto	b#us-to
apontando-lhes	apontando§-lhes
Alvejavam-no	al-ve-j#a-vam§-no
Viam-no	v#i-am§-no
baleado	ba-le-#a-do
erguer-se	er-gu#er§-se
invulnerável	in-vul-ne-r#á-vel
abatendo	a-ba-t#en-do
aprumando-se	a-pru-m#an-do§-se
ardil	ar-d#il
frações	fra-ç#ões
canhoneiras	ca-nho-n#ei-ras
Chegaram	che-g#a-ram
escalada	es-ca-l#a-da
amorteciam-se	a-mor-te-c#i-am§-se
Certos	c#er-tos
inferioridade	in-fe-ri-o-ri-d#a-de
falseavam	fal-se-#a-vam
Via-se	v#i-a§-se
corpulento	cor-pu-l#en-to
Desencadeava	de-sen-ca-de-#a-va
ardilezas	ar-di-l#e-zas
facínora	fa-c#í-no-ra
provecto	pro-v#ec-to
Imitavam-lhe	i-mi-t#a-vam§-lhe
figurações	fi-gu-ra-ç#ões
amotinados	a-mo-ti-n#a-dos
rarefeitos	ra-re-f#ei-tos
rojões	ro-j#ões
rolantes	ro-l#an-tes
atacando	a-ta-c#an-do
baqueando	ba-que-#an-do
trespassados	tres-pa-ss#a-dos
descida	des-c#i-da
acabavam	a-ca-b#a-vam
coice	c#oi-ce
Desapareciam	de-sa-pa-re-c#i-am
mannlichers	man-nli-chers
estralavam	es-tra-l#a-vam
conquistando	con-quis-t#an-do
tomasse	to-m#a-sse
aferrasse	a-fe-rr#a-sse
soslaio	sos-l#ai-o
recuavam	re-cu-#a-vam
animassem	a-ni-m#a-ssem
acobarbados	a-co-bar-b#a-dos
pouparam	p#ou-pa-ram
partes	p#ar-tes
acerbos	a-c#er-bos
regia	re-g#i-a
Rompia	rom-p#i-a
espingardeamento	es-pin-gar-de-a-m#en-to
dizimando-os	di-zi-m#an-do§-os
espalhando-os	es-pa-lh#an-do§-os
predispô-los	pre-dis-p#ô§-los
gorila	go-r#i-la
destacou-se	des-ta-c#ou§-se
congregado	con-gre-g#a-do
avançou	a-van-ç#ou
Cortou-lhe	cor-t#ou§-lhe
explosão	ex-plo-s#ão
lanterneta	lan-ter-n#e-ta
estraçoando-o	es-tra-ço-#an-do-§o
caudatários	cau-da-t#á-rios
fugiam	fu-g#i-am
Contingentes	con-tin-g#en-tes
misturados	mis-tu-r#a-dos
saltavam	sal-t#a-vam
ultimas	ul-t#i-mas
perdendo	per-d#en-do
levara	le-v#a-ra
Venceslau	ven-ces-l#au
conquistada	con-quis-t#a-da
resultava	re-sul-t#a-va
relativa	re-la-t#i-va
graduadas	gra-du-#a-das
cabos	c#a-bos
guerras	gu#e-rras
esquadra	es-qu#a-dra
confluíram	con-flu-#í-ram
disparando	dis-pa-r#an-do
fanfarrear	fan-fa-rre-#ar
monteiros	mon-t#ei-ros
javardos	ja-v#ar-dos
escapavam-se	es-ca-p#a-vam§-se
Perseguiram-nos	per-se-gu#i-ram§-nos
rodar	ro-d#ar
puxada	pu-x#a-da
Realizara-se	re-a-li-z#a-ra§-se
tirante	ti-r#an-te
dispêndio	dis-p#ên-dio
perdas—quatro	per-das-qua-#tro
cadáveres	ca-d#á-ve-res
contados	con-t#a-dos
Cumulou-a	cu-mu-l#ou§-a
algara	al-g#a-ra
tumultuária	tu-mul-tu-#á-ria
avergoada	a-ver-go-#a-da
oblíqua	o-bl#í-qua
sustinham	sus-t#i-nham
atrito	a-tr#i-to
dolmem	d#ol-mem
barbac	b#ar-bac
Nele	n#e-le
acoitaram	a-c#oi-ta-ram
espectador	es-pec-ta-d#or
provavelmente	pro-va-vel-m#en-te
trabucos	tra-b#u-cos
dava	d#a-va
Aproveitaram-no	a-pro-v#ei-ta-ram§-no
Abriam	a-br#i-am
fizeram-nos	fi-z#e-ram§-nos
parar	pa-r#ar
aprestou	a-pres-t#ou
bombardear	bom-bar-de-#ar
temerários	te-me-r#á-rios
bombardeio	bom-bar-d#ei-o
reduziu-se	re-du-z#iu§-se
granada	gra-n#a-da
alvo	#al-vo
arrebentar	a-rre-ben-t#ar
engastava	en-gas-t#a-va
Dilatou-a	di-la-t#ou§-a
Abriu-a	a-br#iu§-a
despregado	des-pre-g#a-do
desceu	des-c#eu
baque	b#a-que
sepultando-os	se-pul-t#an-do§-os
Reatou-se	re-a-t#ou§-se
crescente	cres-c#en-te
rarear	ra-re-#ar
defensores	de-fen-s#o-res
tocavam	to-c#a-vam
Desapareceram	de-sa-pa-re-c#e-ram
aproveitando	a-pro-v#ei-tan-do
Combalidos	com-ba-l#i-dos
abrandada	a-bran-d#a-da
impura	im-p#u-ra
Cipó	ci-p#ó
Fizeram-no	fi-z#e-ram§-no
recente	re-c#en-te
pressentiram	pre-ssen-t#i-ram
sobre-rolda	sobre§-r#ol-da
quebrar	que-br#ar
sobrestante	so-bres-t#an-te
Meteram-se	me-t#e-ram§-se
aproximaram-se	a-pro-xi-m#a-ram§-se
circularam-no	cir-cu-l#a-ram§-no
adormeceu	a-dor-me-c#eu
formadas	for-m#a-das
dispuseram-se	dis-pu-s#e-ram§-se
marche-marche	marche§-m#ar-che
abalarem	a-ba-l#a-rem
contratempo	con-tra-t#em-po
emperrara	em-pe-rr#a-ra
resistindo	re-sis-t#in-do
extração	ex-tra-ç#ão
Adotou-se	a-do-t#ou§-se
alvitres	al-v#i-tres
disparar	dis-pa-r#ar
provável	pro-v#á-vel
Seria	se-r#i-a
aldravada	al-dra-v#a-da
anunciando	a-nun-ci-#an-do
estrepitosamente	es-tre-pi-to-sa-m#en-te
Reeditou-se	re-e-di-t#ou§-se
imperfeitas	im-per-f#ei-tas
fueiros	fu-#ei-ros
forquilhas	for-qu#i-lhas
aguilhadas	a-gui-lh#a-das
enterreiraram-na	en-te-rr#ei-ra-ram§-na
grita	gr#i-ta
prefixo	pre-f#i-xo
jogara-os	jo-g#a-ra§-os
pelotões	pe-lo-t#ões
trigueiras	tri-gu#ei-ras
Morreu	mo-rr#eu
trespassado	tres-pa-ss#a-do
abatera	a-ba-t#e-ra
atravessando-o	a-tra-ve-ss#an-do§-o
Tomara-lhe	to-m#a-ra§-lhe
afeado	a-fe-#a-do
pátina	p#á-ti-na
sardas	s#ar-das
gladiador	gla-di-a-d#or
sobressaindo	so-bre-ssa#i-ndo
Perdeu-se	per-d#eu§-se
imprecação	im-pre-ca-ç#ão
altiva	al-t#i-va
arrojou	a-rro-j#ou
saltar	sal-t#ar
canhão	ca-nh#ão
abarcou	a-bar-c#ou
musculosos	mus-cu-l#o-sos
estrangulasse	es-tran-gu-l#a-sse
canalhas	ca-n#a-lhas
recuara	re-cu-#a-ra
espavorida	es-pa-vo-r#i-da
rodava	ro-d#a-va
arrastada	a-rras-t#a-da
apresada	a-pre-s#a-da
desastre	de-s#as-tre
Avaliou-o	a-va-li-#ou§-o
Animou	a-ni-m#ou
valentemente	va-len-te-m#en-te
atônitos	a-t#ô-ni-tos
dando-lhes	dando§-lhes
precipitou-se	pre-ci-pi-t#ou§-se
travou-se	tra-v#ou§-se
punhadas	pu-nh#a-das
estertores	es-ter-t#o-res
estrangulados	es-tran-gu-l#a-dos
ronquidos	ron-qu#i-dos
baques	b#a-ques
retomado	re-to-m#a-do
volveu	vol-v#eu
melhoraram	me-lho-r#a-ram
repelidos	re-pe-l#i-dos
retroceder	re-tro-ce-d#er
negaça	ne-g#a-ça
fervilhavam	fer-vi-lh#a-vam
Novamente	no-va-m#en-te
intangíveis	in-tan-g#í-veis
pregos	pr#e-gos
ferramenta	fe-rra-m#en-ta
desusada	de-su-s#a-da
Renovavam	re-no-v#a-vam
duelo	du-#e-lo
antepondo	an-te-p#on-do
pederneira	pe-der-n#ei-ra
delongar	de-lon-g#ar
fazendo-a	fa-z#en-do§-a
cruelmente	cru-el-m#en-te
iteração	i-te-ra-ç#ão
incidentes	in-ci-d#en-tes
relativamente	re-la-ti-va-m#en-te
incólume	in-c#ó-lu-me
cairia	c#ai-ri-a
asfaltamento	as-fal-ta-m#en-to
algozes	al-g#o-zes
enfastiados	en-fas-ti-#a-dos
punhos	p#u-nhos
amolecidos	a-mo-le-c#i-dos
frouxos	fr#ou-xos
multiplicado	mul-ti-pli-c#a-do
deslocando	des-lo-c#an-do
assaltados	a-ssal-t#a-dos
atrevidos	a-tre-v#i-dos
tolhendo-lhes	tolhendo§-lhes
pelejar	pe-le-j#ar
prodigamente	pro-di-ga-m#en-te
gastas	g#as-tas
extinguissem	ex-tin-gu#i-ssem
ultimar	ul-ti-m#ar
choques	ch#o-ques
aditavam	a-di-t#a-vam
aliém	a-li-#ém
excluída	ex-clu-#í-da
restavam	res-t#a-vam
litros	l#i-tros
impô-se	im-p#ô§-se
oficialidade	o-fi-ci-a-li-d#a-de
definiu-lhe	de-fi-n#iu§-lhe
optasse	op-t#a-sse
dilema	di-l#e-ma
prosseguimento	pro-sse-gui-m#en-to
ferido	fe-r#i-do
insepulto	in-se-p#ul-to
perdas	p#er-das
perdera	per-d#e-ra
excluídos	ex-clu-#í-dos
dizimados	di-zi-m#a-dos
contou	con-t#ou
Tingira-se	tin-g#i-ra§-se
destacava-a	des-ta-c#a-va§-a
requeimada	re-qu#ei-ma-da
nódoa	n#ó-do-a
arrostando	a-rros-t#an-do
Desvendemos	des-ven-d#e-mos
arquivando	ar-qui-v#an-do
depoimentos	de-p#oi-men-tos
contestes	con-t#es-tes
Algum	al-g#um
travado	tra-v#a-do
impressionados	im-pre-ssi-o-n#a-dos
tiroteios	ti-ro-t#ei-os
alarmaram-se	a-lar-m#a-ram§-se
prevendo	pre-v#en-do
chegassem	che-g#a-ssem
beataria	be-a-ta-r#i-a
medrosa	me-dr#o-sa
reuniu	reu-n#iu
seiscentos	s#eis-cen-tos
colhida	co-lh#i-da
Atirando	a-ti-r#an-do
trajetórias	tra-je-t#ó-rias
perplexos	per-pl#e-xos
fulminados	ful-mi-n#a-dos
percebiam	per-ce-b#i-am
assovio	a-sso-v#i-o
tenuíssimo	te-nu-#í-ssi-mo
incessantes	in-ce-ss#an-tes
pontilhando-a	pon-ti-lh#an-do§-a
assombro	a-ss#om-bro
sombreou	som-bre-#ou
Volveram	vol-v#e-ram
Precipitaram-se	pre-ci-pi-t#a-ram§-se
dispondo	dis-p#on-do
derradeiros	de-rra-d#ei-ros
Quebrou-se	que-br#ou§-se
Tonto	t#on-to
empolgado	em-pol-g#a-do
Bandos	b#an-dos
trouxas	tr#ou-xas
estavanadamente	es-ta-va-na-da-m#en-te
porfiavam	por-fi-#a-vam
cabecilhas	ca-be-c#i-lhas
prestigiosos	pres-ti-gi-#o-sos
soluçando	so-lu-ç#an-do
clamando	cla-m#an-do
indefinível	in-de-fi-n#í-vel
fascinadas	fas-ci-n#a-das
relicários	re-li-c#á-rios
implorando	im-plo-r#an-do
encará-las	en-ca-r#á§-las
Subiu	su-b#iu
retirar	re-ti-r#ar
infletiam	in-fle-t#i-am
Atentou	a-ten-t#ou
atropelavam	a-tro-pe-l#a-vam
prófugos	pr#ó-fu-gos
desertores	de-ser-t#o-res
comenos	co-m#e-nos
recuava	re-cu-#a-va
desfechava	des-fe-ch#a-va
Começara	co-me-ç#a-ra
resta	r#es-ta
enquadraram	en-qua-dr#a-ram
batiam-se	ba-t#i-am§-se
alimento	a-li-m#en-to
mediava	me-di-#a-va
armistício	ar-mis-t#í-cio
enganador	en-ga-na-d#or
alarmas	a-l#ar-mas
enfraqueciam	en-fra-que-c#i-am
carregavam	ca-rre-g#a-vam
arrastarem	a-rras-t#a-rem
feixes	f#ei-xes
padiolas	pa-di-#o-las
transportavam	trans-por-t#a-vam
malferidos	mal-fe-r#i-dos
agonizantes	a-go-ni-z#an-tes
estendia	es-ten-d#i-a
maninho	ma-n#i-nho
inçado	in-ç#a-do
perceberem	per-ce-b#e-rem
encalçaram-na	en-cal-ç#a-ram-§na
Capitaneava-os	ca-pi-ta-ne-#a-va§-os
inexcedível	i-nex-ce-d#í-vel
Legítimo	le-g#í-ti-mo
acolchetavam-se	a-col-che-t#a-vam§-se
infantil	in-fan-t#il
herói	he-r#ói
retroatividade	re-tro-a-ti-vi-d#a-de
atávica	a-t#á-vi-ca
retardatária	re-tar-da-t#á-ria
troglodita	tro-glo-d#i-ta
aprumandose	a-pru-man-d#o-se
sílex	s#í-lex
ardiloso	ar-di-l#o-so
distribuiu	dis-tri-bu#i-u
marchavam	mar-ch#a-vam
Dando	d#an-do
desfilar	des-fi-l#ar
ladeirentas	la-d#ei-ren-tas
lobrigasse	lo-bri-g#a-sse
táticos	t#á-ti-cos
escalões	es-ca-l#ões
alternarem-se	al-ter-n#a-rem§-se
afrouxara	a-fr#ou-xa-ra
arriscados	a-rris-c#a-dos
subalternos	su-bal-t#er-nos
precipitavam	pre-ci-pi-t#a-vam
praxes	pr#a-xes
estreitando-se	es-tr#ei-tan-do§-se
içada	i-ç#a-da
releixo	re-l#ei-xo
abismos	a-b#is-mos
entalando-se	en-ta-l#an-do§-se
sobranceada	so-bran-ce-#a-da
percurso	per-c#ur-so
supino	su-p#i-no
desenlapando-se	de-sen-la-p#an-do§-se
furnas	f#ur-nas
vitimados	vi-ti-m#a-dos
sobreviventes	so-bre-vi-v#en-tes
passavam-lhes	passavam§-lhes
vingadora	vin-ga-d#o-ra
demônios	de-m#ô-nios
arremetiam	a-rre-me-t#i-am
chusma	ch#us-ma
granadas	gra-n#a-das
flanqueavam-na	flan-que-#a-vam§-na
agisse	a-g#i-sse
bastava-lhes	bastava§-lhes
volvia	vol-v#i-a
arrumados	a-rru-m#a-dos
pilhas	p#i-lhas
potencial	po-ten-ci-#al
Abarcava-os	a-bar-c#a-va§-os
transmudava	trans-mu-d#a-va
alavanca	a-la-v#an-ca
monólitos	mo-n#ó-li-tos
oscilavam	os-ci-l#a-vam
incerto	in-c#er-to
despenhando-se	des-pe-nh#an-do§-se
espantosos	es-pan-t#o-sos
esfarelando-as	es-fa-re-l#an-do§-as
apavoradas	a-pa-vo-r#a-das
salvavam-se	sal-v#a-vam§-se
graeiros	gra-#ei-ros
abatiam-nas	a-ba-t#i-am§-nas
culminara	cul-mi-n#a-ra
pedregosa	pe-dre-g#o-sa
despida	des-p#i-da
refluía	re-flu-#í-a
flamejar	fla-me-j#ar
quedava-se	que-d#a-va§-se
deslumbramento	des-lum-bra-m#en-to
quebravam	que-br#a-vam
irrespiráveis	i-rres-pi-r#á-veis
ressoarem	re-sso-#a-rem
rolava	ro-l#a-va
agrediam	a-gre-d#i-am
tripúdio	tri-p#ú-dio
símios	s#í-mios
transmudado	trans-mu-d#a-do
passatempo	pa-ssa-t#em-po
apedrejamento	a-pe-dre-ja-m#en-to
Desfilavam	des-fi-l#a-vam
corrimaças	co-rri-m#a-ças
representado	re-pre-sen-t#a-do
arruaça	a-rru-#a-ça
irônicos	i-r#ô-ni-cos
irritantes	i-rri-t#an-tes
cindidos	cin-d#i-dos
assovios	a-sso-v#i-os
cachinadas	ca-chi-n#a-das
encalçasse	en-cal-ç#a-sse
barulhenta	ba-ru-lh#en-ta
garotos	ga-r#o-tos
Bandegó	ban-de-g#ó
Baixo	b#ai-xo
Salvou-os	sal-v#ou§-os
complana	com-pl#a-na
eficazes	e-fi-c#a-zes
timbravam	tim-br#a-vam
rechaçaram-nos	re-cha-ç#a-ram-§nos
metralha	me-tr#a-lha
rolaram	ro-l#a-ram
findas	f#in-das
Fustigado	fus-ti-g#a-do
ariscas	a-r#is-cas
invadiu	in-va-d#iu
refluíam	re-flu-#í-am
apostaram	a-pos-t#a-ram
circulou	cir-cu-l#ou
prefigurando	pre-fi-gu-r#an-do
regalos	re-g#a-los
forçado	for-ç#a-do
dilacerando	di-la-ce-r#an-do
carnes	c#ar-nes
sapecadas	sa-pe-c#a-das
andrajosos	an-dra-j#o-sos
agrupavam-se	a-gru-p#a-vam§-se
tintos	t#in-tos
canibais	ca-ni-b#ais
famulentos	fa-mu-l#en-tos
válido	v#á-li-do
claudicavam	cl#au-di-ca-vam
sangrando	san-gr#an-do
varados	va-r#a-dos
cortados	cor-t#a-dos
Cobertos	co-b#er-tos
palha	p#a-lha
tragicamente	tra-gi-ca-m#en-te
ridículos	ri-d#í-cu-los
velando	ve-l#an-do
capotes	ca-p#o-tes
alinhando-se	a-li-nh#an-do§-se
recebeu-os	re-ce-b#eu§-os
Capitulo	ca-pi-t#u-lo
animaram-se	a-ni-m#a-ram§-se
fragor	fra-g#or
trocara-se	tro-c#a-ra§-se
Lentamente	len-ta-m#en-te
substituíam	subs-ti-tu-#í-am
trabalhadores	tra-ba-lha-d#o-res
pálios	p#á-lios
paus	p#aus
roliços	ro-l#i-ços
mártires	m#ár-ti-res
dedicara	de-di-c#a-ra
Haviamse	ha-vi-#am-se
esquadrinhado	es-qua-dri-nh#a-do
anfractuosidades	an-frac-tu-o-si-d#a-des
taliscas	ta-l#is-cas
apertadas	a-per-t#a-das
Muitos	m#ui-tos
baquearem	ba-que-#a-rem
resvalos	res-v#a-los
barrocais	ba-rro-c#ais
grotas	gr#o-tas
atravessando-lhes	atravessando§-lhes
balouçavam-se	ba-l#ou-ça-vam-§se
alando-se	a-l#an-do§-se
colhiam-nos	co-lh#i-am§-nos
compassivos	com-pa-ss#i-vos
ultimava-se	ul-ti-m#a-va§-se
Faltavam	fal-t#a-vam
queimara	qu#ei-ma-ra
cortejo	cor-t#e-jo
tangenciando	tan-gen-ci-#an-do
clarão	cla-r#ão
adunavam	a-du-n#a-vam
caía	ca-#í-a
Aclarou-o	a-cla-r#ou§-o
Iluminou	i-lu-mi-n#ou
préstito	pr#és-ti-to
Deslizou	des-li-z#ou
insensivelmente	in-sen-si-vel-m#en-te
cintilaram	cin-ti-l#a-ram
altaneiros	al-ta-n#ei-ros
apagados	a-pa-g#a-dos
bruxuleando	bru-xu-le-#an-do
Brilharam	bri-lh#a-ram
Rutilando	ru-ti-l#an-do
resplandescente	res-plan-des-c#en-te
Órion	#ó-ri-on
alevantava-se	a-le-van-t#a-va§-se
Expedição	ex-pe-di-ç#ão
Moreira	mo-r#ei-ra
celebrizou	ce-le-bri-z#ou
Primeira	pri-m#ei-ra
aguardam	a-gu#ar-dam
Partida	par-t#i-da
Psicologia	psi-co-lo-g#i-a
Pitombas	pi-t#om-bas
acelerado	a-ce-le-r#a-do
cartões	car-t#ões
Cidadela-mundéu	Cidadela§-mun-d#éu
Ataques	a-t#a-ques
Saques	s#a-ques
Recuo	re-c#u-o
Ave-Maria	Ave§-ma-r#i-a
Mário	m#á-rio
debandada	de-ban-d#a-da
imprevisto	im-pre-v#is-to
coincidia	c#oi-nci-dia
rematara	re-ma-t#a-ra
sedições	se-di-ç#ões
grau	gr#au
revolucionários	re-vo-lu-ci-o-n#á-rios
dispersivos	dis-per-s#i-vos
abalançar	a-ba-lan-ç#ar
demonstrará	de-mons-tra-r#á
inadaptabilidade	i-na-dap-ta-bi-li-d#a-de
legislação	le-gis-la-ç#ão
recéminaugurado	re-c#é-mi-nau-gu-ra-do
avantajar-se	a-van-ta-j#ar§-se
alastrar	a-las-tr#ar
amolentara	a-mo-len-t#a-ra
marasmo	ma-r#as-mo
monárquico	mo-n#ár-qui-co
precipitando	pre-ci-pi-t#an-do
desastres	de-s#as-tres
repontavam	re-pon-t#a-vam
ritmicamente	rit-mi-ca-m#en-te
iniciado	i-ni-ci-#a-do
organizada	or-ga-ni-z#a-da
Encontrara	en-con-tr#a-ra
quedara	que-d#a-ra
impotência	im-po-t#ên-cia
corrigir	co-rri-g#ir
repelia	re-pe-l#i-a
sereno	se-r#e-no
frouxidão	frou-xi-d#ão
conspirações	cons-pi-ra-ç#ões
espelhar	es-pe-lh#ar
substituir	subs-ti-tu-#ir
verificasse	ve-ri-fi-c#a-sse
democráticos	de-mo-cr#á-ti-cos
decaía	de-ca-#í-a
sofismada	so-fis-m#a-da
invertida	in-ver-t#i-da
anulada	a-nu-l#a-da
Floriano	flo-ri-#a-no
Peixoto	p#ei-xo-to
obstar	obs-t#ar
marechal	ma-re-ch#al
especialíssimas	es-pe-ci-a-l#í-ssi-mas
rodearam	ro-de-#a-ram
agravara	a-gra-v#a-ra
flagrantemente	fla-gran-te-m#en-te
violador	vi-o-la-d#or
garantias	ga-ran-t#i-as
suspensão	sus-pen-s#ão
abraçado	a-bra-ç#a-do
afogava-a	a-fo-g#a-va§-a
legalidade	le-ga-li-d#a-de
distendida	dis-ten-d#i-da
consagração	con-sa-gra-ç#ão
transmudara-se	trans-mu-d#a-ra§-se
Marechal	ma-re-ch#al
involuntariamente	in-vo-lun-ta-ri-a-m#en-te
enigma	e-n#ig-ma
Apelando	a-pe-l#an-do
assoberbaram	a-sso-ber-b#a-ram
surgissem	sur-g#i-ssem
agia	a-g#i-a
congregava	con-gre-g#a-va
medíocres	me-d#í-o-cres
Revolta	re-v#ol-ta
Setembro	se-t#em-bro
enfeixara	en-f#ei-xa-ra
contrariadas	con-tra-ri-#a-das
tumultos	tu-m#ul-tos
latentes	la-t#en-tes
levantes	le-v#an-tes
Destruíra	des-tru-#í-ra
revoltosos	re-vol-t#o-sos
Abatera	a-ba-t#e-ra
dificílimos	di-fi-c#í-li-mos
agitadores	a-gi-ta-d#o-res
robustecidos	ro-bus-te-c#i-dos
secundário	se-cun-d#á-rio
Traziam	tra-z#i-am
vertiginosa	ver-ti-gi-n#o-sa
dilataram-na	di-la-t#a-ram§-na
Viu-se	v#iu§-se
vulgaríssimo	vul-ga-r#í-ssi-mo
neutral	neu-tr#al
veículo	ve-#í-cu-lo
transmissão	trans-mi-ss#ão
cidadão	ci-da-d#ão
isoladamente	i-so-la-da-m#en-te
deplorava	de-plo-r#a-va
esfera	es-f#e-ra
remotíssima	re-mo-t#í-ssi-ma
mimetismo	mi-me-t#is-mo
Scipio	sci-p#i-o
Sighele	sig-h#e-le
maiorias	mai-o-r#i-as
conscientes	cons-ci-#en-tes
revestiam-se	re-ves-t#i-am§-se
tomavam	to-m#a-vam
Surgiram	sur-g#i-ram
tribuna	tri-b#u-na
individualidades	in-di-vi-du-a-li-d#a-des
tombariam	tom-ba-r#i-am
peados	pe-#a-dos
idéias	i-d#éi-as
aliava	a-li-#a-va
nativismo	na-ti-v#is-mo
extemporâneo	ex-tem-po-r#â-neo
jacobinismo	ja-co-bi-n#is-mo
lisonjeiro	li-son-j#ei-ro
túmulo	t#ú-mu-lo
arca	#ar-ca
impenitente	im-pe-ni-t#en-te
retração	re-tra-ç#ão
pensante	pen-s#an-te
mediocridades	me-di-o-cri-d#a-des
irritadiças	i-rri-ta-d#i-ças
imprimir	im-pri-m#ir
bastavam	bas-t#a-vam
cisões	ci-s#ões
assustava	a-ssus-t#a-va
desesperadora	de-ses-pe-ra-d#o-ra
anelavam	a-ne-l#a-vam
avolumar	a-vo-lu-m#ar
ilogicamente	i-lo-gi-ca-m#en-te
abolicionista	a-bo-li-ci-o-n#is-ta
proclamação	pro-cla-ma-ç#ão
ponderador	pon-de-ra-d#or
cortejavam-no	cor-te-j#a-vam§-no
captavam-no	cap-t#a-vam§-no
atraíam-no	a-tra-#í-am-§no
afanosa	a-fa-n#o-sa
imprudentemente	im-pru-den-te-m#en-te
herdado	her-d#a-do
feiticismo	f#ei-ti-cis-mo
Escolheram-no	es-co-lh#e-ram§-no
dolo	d#o-lo
avolumando	a-vo-lu-m#an-do
balancear	ba-lan-ce-#ar
gravíssimas	gra-v#í-ssi-mas
Escolheu-o	es-co-lh#eu§-o
nomeado	no-me-#a-do
criara-se	cri-#a-ra§-se
legenda	le-g#en-da
Recém-vindo	re-c#ém-§v#in-do
ator	a-t#or
federalista	fe-de-ra-l#is-ta
aclamações	a-cla-ma-ç#ões
apodos	a-p#o-dos
julgar	jul-g#ar
extremado	ex-tre-m#a-do
baía	ba-#í-a
Esquadra	es-qu#a-dra
Gumercindo	gu-mer-c#in-do
Saraiva	sa-r#ai-va
Gomes	g#o-mes
Carneiro	car-n#ei-ro
conceitos	con-c#ei-tos
aquilatar	a-qui-la-t#ar
afogueado	a-fo-gue-#a-do
sentimentalidade	sen-ti-men-ta-li-d#a-de
caricatura	ca-ri-ca-t#u-ra
imortais	i-mor-t#ais
esquina	es-qu#i-na
entravam	en-tr#a-vam
encontrões	en-con-tr#ões
intrusos	in-tr#u-sos
panegíricos	pa-ne-g#í-ri-cos
convícios	con-v#í-cios
detirambos	de-ti-r#am-bos
ferventes	fer-v#en-tes
ironias	i-ro-n#i-as
invectivas	in-vec-t#i-vas
despiedadas	des-pi-e-d#a-das
sangueira	san-gu#ei-ra
Inhandu	i-nhan-d#u
chacina	cha-c#i-na
Osório	o-s#ó-rio
memorável	me-mo-r#á-vel
pico	p#i-co
Diabo	di-#a-bo
platonismo	pla-to-n#is-mo
marcial	mar-ci-#al
Itararé	i-ta-ra-r#é
Irrompiam	i-rrom-p#i-am
granel	gra-n#el
saudados	s#au-da-dos
amaldiçoados	a-mal-di-ço-#a-dos
Surpreendiam-se	sur-pre-en-d#i-am§-se
admiradores	ad-mi-ra-d#o-res
reduzia-lhe	re-du-z#i-a§-lhe
